,Unnamed: 0,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label,pred_label
1304,8146,한창산업(주),79170,2011-12-01,2005-02-01,,5,  1차 금속 제조업,30.88,3.08,14.32,2.78,2.78,2.78,-0.61,-41.38,4.88,1.46,5.4,4.34,3.27,12728.45,186.0,176.38,111.17,10.92,27.59,62.79,38.12,59.06,63.72,61.43,3487.3,2.24,3.71,6.26,9.44,6.32,9.89,36.9,38.66,57.76,0.02,0.17,2.29,7.68,3.5,5.56,15885.93,11.19,39.66,196.76,4.99,41.9,58.1,29.2,0.0,
1305,8147,한창산업(주),79170,2012-12-01,2005-02-01,,5,  1차 금속 제조업,-6.62,-2.78,41.69,-3.93,-3.93,-3.93,-0.08,-59.35,4.59,1.0,3.4,3.85,2.12,11900.99,119.0,177.23,119.53,13.63,26.22,57.63,-98.18,62.78,60.17,63.44,3519.88,2.12,3.4,5.57,9.82,5.95,9.47,38.54,37.17,61.34,0.02,0.16,2.19,7.0,3.42,5.25,13785.78,9.94,31.15,150.08,4.63,50.18,49.82,21.59,0.0,
1306,8156,해성산업(주),34810,2011-12-01,1999-04-16,,5,  전문 서비스업,2.9,-0.58,0.0,0.14,0.14,0.14,2.35,2.93,37.47,-9.73,-9.66,-4.09,-6.83,2868.35,-282.0,491.21,403.79,224.44,55.67,21.5,44552.04,36.57,69.9,82.31,721.64,0.7,0.99,2.08,5.52,2.99,10.91,33.45,66.15,121.96,0.01,0.0,0.76,2.84,1.06,1.31,9738.86,13.03,89.27,319.82,21.66,150.05,-50.05,-44.93,0.0,
1307,8157,해성산업(주),34810,2012-12-01,1999-04-16,,5,  전문 서비스업,1.47,-0.51,0.0,-0.34,-0.34,-0.34,1.22,-7.28,40.13,-7.95,-9.41,2.31,-5.57,4132.56,-325.0,147.87,123.48,57.77,14.48,119.7,44552.04,121.43,44.73,45.52,660.83,0.7,1.18,1.52,7.56,4.04,12.75,28.63,48.28,90.32,0.01,0.0,0.89,2.93,1.29,1.56,10676.69,8.43,41.34,301.75,15.15,148.32,-48.32,-52.49,0.0,
1308,8173,현대바이오사이언스(주),48410,2011-12-01,2002-08-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,-44.11,-23.21,-44.81,-24.6,-24.6,-24.6,-41.39,0.0,18.18,-35.54,-73.83,-28.09,-41.08,4748.98,-1690.0,155.99,72.95,26.41,28.99,114.98,-18.41,41.33,80.77,46.52,282.52,1.16,2.08,6.99,2.59,5.59,12.01,30.4,141.1,65.26,0.01,0.0,0.92,8.05,1.38,2.98,-4726.36,-15.51,-91.86,-214.4,-9.92,0.0,0.0,0.0,0.0,
1309,8174,현대바이오사이언스(주),48410,2012-12-01,2002-08-08,,5,  화학물질 및 화학제품 제조업; 의약품 제외,-22.19,39.33,-21.26,100.23,100.23,100.23,5.21,0.0,24.69,-21.46,-48.13,-16.21,-25.45,1944.79,-419.0,162.29,79.93,16.61,24.34,69.66,-5.92,62.08,63.41,58.94,184.64,1.19,2.24,4.22,3.17,7.2,14.74,24.76,115.27,50.7,0.01,0.0,1.01,6.02,1.65,3.45,1273.31,3.97,17.89,33.48,3.43,537.89,-437.89,-624.98,0.0,
1310,8183,현대에이치티(주),39010,2011-12-01,2000-07-20,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-18.79,-2.02,-17.7,-3.06,-3.06,-3.06,-4.77,0.0,9.58,-13.37,-25.01,-11.91,-12.64,5806.85,-800.0,135.23,99.51,10.66,17.25,117.53,-171.85,73.46,66.23,45.97,550.26,0.95,1.87,2.82,5.0,2.75,2.63,138.79,72.98,132.61,0.01,0.2,0.85,4.64,1.42,1.98,-472.99,-0.92,-4.46,-1448.67,-0.94,0.0,0.0,0.0,0.0,
1311,8184,현대에이치티(주),39010,2012-12-01,2000-07-20,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-8.9,-1.64,-44.22,-4.15,-4.15,-4.15,-25.64,0.0,14.91,-0.15,-0.31,1.34,-0.16,5289.91,-8.0,161.47,123.95,23.84,21.5,64.87,6.72,71.76,56.47,60.66,539.97,1.01,1.94,2.67,6.48,2.86,3.12,116.92,56.34,127.74,0.01,0.16,0.96,4.3,1.63,2.18,4313.74,11.22,41.82,27390.55,9.45,85.06,14.94,-1.63,0.0,
1312,8193,현우산업(주),92300,2011-12-01,2007-10-24,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",7.58,8.4,-8.72,7.14,7.14,7.14,6.48,-66.11,41.37,8.45,8.47,8.15,7.19,5036.6,429.0,566.47,460.99,27.86,60.08,17.24,2.86,31.71,72.96,85.3,1035.88,0.85,1.0,3.03,6.37,1.62,16.16,22.59,57.29,225.24,0.0,0.0,1.0,3.76,1.18,1.45,18019.95,26.98,121.21,2478.14,32.53,65.89,34.11,25.99,0.0,
1313,8194,현우산업(주),92300,2012-12-01,2007-10-24,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-4.3,1.52,-13.19,1.95,1.95,1.95,1.18,22.08,39.17,12.61,10.96,5.09,9.39,4729.79,601.0,776.29,633.29,83.52,60.82,16.18,0.95,35.08,69.81,86.07,1141.81,0.74,0.87,2.6,5.64,1.51,17.0,21.47,64.74,241.81,0.0,0.0,0.91,3.78,1.04,1.28,21058.1,28.86,168.56,2227.94,40.47,57.93,42.07,31.16,0.0,
